PRIMARY_TICKER,EVENT_TIMESTAMP,EVENT_TYPE,CREATED_AT,SENTIMENT_SCORE,UNIQUE_ANALYST_COUNT,SENTIMENT_REASON
AERO,2024-07-25T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,5,3,"Analysts expressed neutral to cautious sentiment with concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
AGRI,2024-08-05T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"Analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with constructive forward-looking questions"
AQUA,2024-09-12T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
AUTO,2024-09-01T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
BANK,2024-08-03T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"All three analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with no concerns raised"
BIOX,2024-08-12T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"All three analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
BREW,2024-07-29T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
CARG,2024-08-13T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
CHEM,2024-07-26T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
CLIM,2024-07-30T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,2,3,"Analysts used harsh language like 'elephant in the room', 'significant miss', 'disappointing', and 'concerning', indicating very negative sentiment"
CONS,2024-09-07T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
CTLG,2024-09-15T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"Analysts used highly positive language like 'incredible quarter', 'outstanding execution', 'stellar', 'remarkable growth', and 'tremendously encouraging' with no negative concerns raised"
CUST,2024-08-23T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts used cautious language like 'mixed results', 'margins under pressure', and 'mixed signals from customers' indicating neutral to negative sentiment"
CYBX,2024-08-15T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges with somewhat skeptical tone"
DFLX,2024-08-28T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts asked pointed questions about mixed results, margin pressure, and competitive concerns but received vague, non-specific responses from management"
DIAG,2024-09-27T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts used cautious language like 'mixed results', 'margins under pressure', and 'mixed signals from customers', indicating concerns despite strong revenue growth"
DRON,2024-09-13T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"Analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with constructive forward-looking questions"
EDUC,2024-09-18T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts express concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
ELEC,2024-07-14T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
ENRG,2024-08-25T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,2,3,"Analysts expressed deep disappointment with significant miss, deteriorating fundamentals, execution issues, and concerning guidance cuts"
FASH,2024-07-15T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"All three analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with constructive forward-looking questions"
FERT,2024-08-07T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"All three analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with constructive forward-looking questions"
FINQ,2024-09-20T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,2,3,"Analysts expressed deep concern about significant misses, deteriorating fundamentals, disappointing results, and declining market share with very negative tone"
FOOD,2024-07-22T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
FRAN,2024-09-17T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"Analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with constructive forward-looking questions"
GAME,2024-09-22T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
GENM,2024-09-28T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
GOVE,2024-07-24T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,3,3,"All three analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
HLTH,2024-08-08T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,2,3,"Analysts expressed deep disappointment with significant miss, deteriorating fundamentals, execution issues, and concerning guidance cuts"
HOST,2024-08-11T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
HRMS,2024-09-23T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
HVAC,2024-07-11T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
ICBG,2024-09-25T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about pricing pressure, market share, growth deceleration, conservative guidance, and macro headwinds. Management responses were vague and evasive."
INNO,2024-09-26T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"Analysts used highly positive language like 'quite strong', 'Great quarter!', 'impressed by execution', and 'encouraging' with constructive forward-looking questions"
INSU,2024-09-14T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts used cautious language like 'mixed results', 'margins under pressure', and 'mixed signals from customers' indicating concerns despite strong revenue growth"
IRRI,2024-08-09T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
JANI,2024-09-25T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
JEWL,2024-07-19T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
KINE,2024-07-26T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts used concerning language like 'mixed results', 'margins under pressure', and 'mixed signals from customers' despite strong revenue growth"
KNOW,2024-08-29T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,3,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
LAWN,2024-08-15T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite solid results"
LEGA,2024-08-27T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
LGST,2024-07-20T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
LIBR,2024-09-09T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"All three analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with no negative concerns raised"
MANU,2024-08-20T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"Analysts used highly positive language like 'quite strong', 'Great quarter!', 'impressed by execution', and 'encouraging' with questions focused on growth sustainability and upside opportunities"
MARI,2024-08-14T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
MEDIA,2024-07-12T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"All three analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with no concerns raised"
MEDX,2024-08-18T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive dynamics, pricing pressure, deceleration, slowing growth, and conservative guidance amid macro headwinds"
MINE,2024-07-31T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
MKTG,2024-09-03T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts used concerning language like 'mixed results', 'margins under pressure', and 'mixed signals from customers' indicating skepticism despite strong revenue growth"
MOBI,2024-09-30T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
MUSC,2024-07-13T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,3,3,"All three analysts expressed concerns about competitive pressure, growth deceleration, and conservative guidance despite strong revenue growth"
NANO,2024-08-26T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,3,3,"All three analysts expressed concerns about competitive pressures, growth deceleration, and conservative guidance amid macro headwinds"
NRNT,2024-08-30T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"Analysts used overwhelmingly positive language like 'incredible', 'outstanding', 'stellar execution', 'remarkable', and 'tremendously encouraging' with no challenging questions"
NUTR,2024-07-08T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
NXGN,2024-09-10T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges with somewhat skeptical tone"
OCEN,2024-08-01T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,3,3,"All three analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
OPTI,2024-09-06T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts used cautious language like 'mixed results', 'margins under pressure', and 'mixed signals from customers' indicating concerns despite strong revenue growth"
PACK,2024-09-04T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
PARK,2024-09-05T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses"
PEST,2024-07-27T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
PHARM,2024-07-18T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
PRINT,2024-08-19T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,3,3,"All three analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
PROP,2024-07-28T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
QRYQ,2024-09-12T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"Analysts used highly positive language like 'incredible quarter', 'outstanding execution', 'stellar', 'remarkable growth', and 'tremendously encouraging' with no challenging questions"
QUAL,2024-08-17T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
QUES,2024-07-30T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
RAIL,2024-08-22T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,3,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses"
RECR,2024-07-16T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
REST,2024-09-24T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
RETL,2024-09-08T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive dynamics, pricing pressure, growth deceleration, and conservative guidance amid macro headwinds"
SAFE,2024-09-21T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
SECU,2024-07-21T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,5,3,"Analysts expressed mixed concerns about results, margin pressure, and competitive challenges despite strong revenue growth"
SEMI,2024-08-06T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
SNOW,2024-09-19T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts focused on competitive pressures, deceleration concerns, and conservative guidance with skeptical tone"
SOLR,2024-09-18T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
SPRT,2024-08-10T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts used cautious language like 'mixed results', 'margins under pressure', and 'mixed signals from customers' indicating neutral to negative sentiment"
STRM,2024-09-05T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts asked pointed questions about mixed results, margin pressure, and competitive concerns but received vague, non-specific responses from management"
TELE,2024-09-16T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"All three analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with constructive forward-looking questions"
TEXT,2024-07-16T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
TICK,2024-08-24T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
TRVL,2024-09-11T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
URBA,2024-09-02T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,2,3,"Analysts expressed strong disappointment with phrases like 'elephant in the room', 'significant miss', 'frankly disappointing', and 'concerning guidance cut'"
UTIL,2024-08-16T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
VEND,2024-07-17T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses"
VENT,2024-08-04T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
VLTA,2024-08-22T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,4,"Analysts asked probing questions about mixed results, margin pressure, and competitive concerns but received vague, non-specific responses from management"
WAST,2024-08-31T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about mixed results, margin pressure, and competitive challenges despite strong revenue growth"
WINE,2024-09-29T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"All three analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with optimistic forward-looking questions"
XRAY,2024-09-19T16:00:00,Q3 FY2025 Earnings Call,2025-10-24T13:56:16,4,3,"Analysts expressed concerns about competitive pressure, growth deceleration, conservative guidance, and potential target misses despite strong revenue growth"
YIEL,2024-07-23T16:00:00,Q1 FY2025 Earnings Call,2025-10-24T13:56:16,9,3,"Analysts used highly positive language like 'strong results', 'great quarter', 'impressed by execution', and 'encouraging guidance' with constructive forward-looking questions"
ZONE,2024-08-21T16:00:00,Q2 FY2025 Earnings Call,2025-10-24T13:56:16,2,3,"Analysts used harsh language like 'elephant in the room', 'significant miss', 'disappointing', and 'concerning' while questioning execution and investor confidence"
